"customer_id","hshold_lifestage_last","income_1_avg","income_2_avg","networth_1_avg","networth_2_avg","trip_seq_nb","bkng_dt","arvl_dt","nght_cnt","tot_amt","gst_cnt_sum","new_lifestage_id","min_arvl_dt","max_arvl_dt","customer_lifetime","diff_btwn_dates_in_days","churn_probabilities","ecdf_probabilities","churn_flag"
11,"TWEEN",20000,10000,12500,62500,33,"2014-09-28","2015-09-23",8,593.2640098,5,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,38,"2016-01-05","2016-02-27",4,284.7932149,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,39,"2015-10-27","2016-04-24",4,0,4,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,26,"2013-09-25","2014-09-24",5,55.90631555,4,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,24,"2014-04-24","2014-04-27",4,0,3,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,53,"2017-02-02","2017-12-10",4,72.21077419,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,64,"2018-09-28","2018-11-06",5,1155.173969,3,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,49,"2017-05-21","2017-06-20",4,0,4,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,47,"2017-02-08","2017-03-11",3,0,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,27,"2013-12-04","2014-11-04",4,0,4,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,48,"2016-12-27","2017-04-29",4,30.95378078,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,18,"2012-11-26","2013-02-10",3,52.9125079,3,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,29,"2015-02-10","2015-02-23",1,0,3,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,52,"2017-08-21","2017-10-27",2,605.6959056,4,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
